pickup_date;avg_temp_C;Rain;Fog;Snow
01.01.15;1;;;
02.01.15;4;;;
03.01.15;3;1;;1
04.01.15;9;1;;
05.01.15;2;;;
06.01.15;-6;;;1
07.01.15;-9;;;
08.01.15;-9;;;
09.01.15;-3;;;1
10.01.15;-7;;;
11.01.15;-2;;;
12.01.15;3;1;;
13.01.15;-3;;;
14.01.15;-4;;;
15.01.15;-1;;;
16.01.15;0;;;
17.01.15;-4;;;
18.01.15;3;1;1;
19.01.15;4;;;
20.01.15;2;;;
21.01.15;-1;;;
22.01.15;2;;;
23.01.15;1;;;
24.01.15;2;1;1;1
25.01.15;3;;;
26.01.15;-3;;1;1
27.01.15;-4;;1;1
28.01.15;-4;;;
29.01.15;-2;;;1
30.01.15;-2;;;1
31.01.15;-7;;;
01.02.15;-2;;;1
02.02.15;-4;1;1;1
03.02.15;-7;;;
04.02.15;1;;;
05.02.15;-2;;;
06.02.15;-7;;;
07.02.15;1;;;1
08.02.15;1;;;
09.02.15;-3;;;
10.02.15;1;;;1
11.02.15;-2;;;
12.02.15;-2;;;1
13.02.15;-9;;;
14.02.15;-4;;;1
15.02.15;-9;;;1
16.02.15;-11;;;
17.02.15;-6;;;1
18.02.15;-3;;;1
19.02.15;-8;;;
20.02.15;-12;;;
21.02.15;-5;1;1;1
22.02.15;3;1;;1
23.02.15;-5;;;
24.02.15;-10;;;
25.02.15;-2;;;
26.02.15;-3;;;
27.02.15;-4;;;
28.02.15;-6;;;
01.03.15;-2;;1;1
02.03.15;1;;;
03.03.15;-1;1;;1
04.03.15;4;1;;
05.03.15;-1;1;1;1
06.03.15;-7;;;
07.03.15;-2;;;
08.03.15;6;;;
09.03.15;8;1;;
10.03.15;8;1;;
11.03.15;11;1;;
12.03.15;6;;;
13.03.15;3;;;
14.03.15;8;1;;
15.03.15;4;;;
16.03.15;7;;;
17.03.15;8;1;;
18.03.15;1;;;
19.03.15;2;;;
20.03.15;1;;1;1
21.03.15;3;;;
22.03.15;2;;;
23.03.15;-1;;;
24.03.15;2;;;
25.03.15;6;1;;
26.03.15;11;1;;
27.03.15;6;1;;
28.03.15;1;;;1
29.03.15;2;;;
30.03.15;7;;;1
31.03.15;5;1;;
01.04.15;6;;;
02.04.15;12;;;
03.04.15;17;1;;
04.04.15;11;1;;
05.04.15;11;;;
06.04.15;12;;;
07.04.15;11;1;;
08.04.15;5;;;
09.04.15;4;;;
10.04.15;9;1;;
11.04.15;11;;;
12.04.15;13;;;
13.04.15;15;;;
14.04.15;16;;;
15.04.15;17;;;
16.04.15;14;;;
17.04.15;17;1;;
18.04.15;21;;;
19.04.15;13;;;
20.04.15;11;1;1;
21.04.15;15;1;;
22.04.15;15;1;;
23.04.15;8;;;
24.04.15;8;;;
25.04.15;10;;;
26.04.15;13;;;
27.04.15;13;;;
28.04.15;16;;;
29.04.15;18;;;
30.04.15;14;;;
01.05.15;13;;;
02.05.15;16;;;
03.05.15;19;;;
04.05.15;22;;;
05.05.15;24;;;
06.05.15;19;;;
07.05.15;20;;;
08.05.15;21;;;
